timestamp,gt_uref_regression,slope_v_per_day,slope_uv_per_h,intercept_v,r2,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2024-02-09,1.7658543067251984,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-10,1.7659896835788067,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-11,1.7661250604324148,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-12,1.766260437286023,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-13,1.7663958141396314,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-14,1.7665311909932395,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-15,1.7666665678468478,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-16,1.7668019447004562,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-17,1.7669373215540642,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
2024-02-18,1.7670726984076726,0.00013537685360823955,5.640702233676648,1.7369332982326915,0.9640820933015005,G6M2,g6m2_mid_load,1.0,58.0,33.0,0.98,1.02,57,60,7,142
